No,Title,Maker,Catalog_No,Release_date,Genre,Proper_price,yomi_ja,PRG-ROM,CHR-ROM,MAP,Memory,Serial_number,Rarity,Memo
479,オペレーションウルフ,タイトー,TFC-OW-5900,1989/3/31,SHT,5900,おぺれーしょんうるふ,128K,128K,33,no,24,,対[光]
480,シャドウゲイト,ケムコ,KSC-3S,1989/3/31,ADV,6200,しゃどうげいと,128K,128K,4,yes,,,
481,松本亨の株式必勝学Ⅱ,イマジニア,IMA-K2,1989/3/31,SLG,9800,まつもととおるのかぶしきひっしょうがくⅡ,256K,0K,1,yes,,,
482,ガーフィールドの一週間,トーワチキ,TCC-VG,1989/4/7,ACT,5500,がーふぃーるどのいっしゅうかん,128K,32K,1,no,,,
483,ドラゴンスピリット 新たなる伝説,ナムコ,-,1989/4/14,SHT,5200,どらごんすぴりっと あらたなるでんせつ,128K,128K,88,no,,,
484,マインドシーカー,ナムコ,-,1989/4/18,ETC,6500,まいんどしーかー,128K,128K,19,yes,,,
485,蒼き狼と白き牝鹿 ジンギスカン,光栄,KOE-GX,1989/4/20,SLG,9800,あおきおおかみとしろきめじか じんぎすかん,256K,0K,1,yes,,,
486,ダウンタウン熱血物語,テクノスジャパン,TJC-DN,1989/4/25,ACT,5900,だうんたうんねっけつものがたり,128K,128K,4,no,,,
487,デビルマン,ナムコ,-,1989/4/25,ADV,5500,でびるまん,128K,128K,88,no,,,
488,ドラゴンバスターⅡ 闇の封印,ナムコ,-,1989/4/27,ACT,5200,どらごんばすたーⅡ やみのふういん,128K,64K,4,no,,,
489,HOLY DIVER （ホーリーダイヴァー）,アイレム,IF-12,1989/4/28,ACT,5500,ほーりーだい?ぁー,128K,128K,78,no,12,B,
490,KEIBA SIMULATION 本命(競馬シュミレーション本命),日本物産,NBF-KH,1989/4/28,SLG,9800,けいばしゅみれーしょんほんめい,128K,128K,4,no,8,,
491,名探偵ホームズ Mからの挑戦状,トーワチキ,TCC-M3,1989/5/1,ADV,6000,めいたんていほーむず Mからのちょうせんじょう,256K,0K,1,no,,,
492,株式道場 実践編,ヘクト,HCT-DZ/003,1989/5/2,SLG,9800,かぶしきどうじょう じっせんへん,256K,0K,1,yes,,,
493,激亀忍者伝,コナミ,KDS-GN,1989/5/12,ACT,5800,げきかめにんじゃでん,128K,128K,1,no,,,
494,めざせ三冠王 ベースボールスター,SNK,SFX-B9,1989/5/19,SPT,5900,めざせさんかんおう べーすぼーるすたー,128K,128K,1,yes,,,
495,天地を喰らう,カプコン,CAP-YZ,1989/5/19,RPG,5900,てんちをくらう,256K,0K,1,yes,,,
496,スーパーチャイニーズ2 ドラゴンキッド,カルチャーブレーン,CBF-C2,1989/5/26,RPG,5900,すーぱーちゃいにーず2 どらごんきっど,128K,128K,4,no,,,
497,帰って来た！軍人将棋 なんやそれ？,ソフエル,SFL-NS,1989/5/26,TAB,5500,かえってきた！ぐんじんしょうぎ なんやそれ？,128K,0K,1,no,,,
498,ラサール石井のチャイルズクエスト,ナムコ,-,1989/6/23,RPG,5500,らさーるいしいのちゃいるずくえすと,128K,64K,4,no,,,
499,SDガンダムワールドガチャポン戦士2 カプセル戦記,バンダイ,SHI-2G,1989/6/25,SLG,6800,えすでぃーがんだむわーるどがちゃぽんせんし2,128K,128K,4,yes,,,
500,クインティ,ナムコ,-,1989/6/27,ACT,4900,くいんてぃ,128K,128K,88,no,,,
501,マーダークラブ,セタ,KKS-RZ,1989/6/30,ADV,6800,まーだーくらぶ,128K,128K,4,yes,5,,
502,脱獄 PRISONERS OF WAR,ケイアミューズメントリース,KAC-P7,1989/6/30,ACT,5600,だつごく PRISONERS OF WAR,128K,128K,1,no,,,
503,新燃えろプロ野球,ジャレコ,JF-23,1989/7/13,SPT,6300,しんもえろぷろやきゅう,256K,128K,18,no,,,
504,ドラゴンニンジャ,ナムコ,-,1989/7/14,ACT,5800,どらごんにんじゃ,128K,128K,19,no,,,
505,ホワイトライオン伝説 ピラミットの彼方に,ケムコ,KSC-WE,1989/7/14,RPG,5900,ほわいとらいおんでんせつ ぴらみっとのかなたに,128K,128K,1,yes,,,
506,囲碁指南,ヘクト,HCT-ID/004,1989/7/14,TAB,5800,いごしなん,32K,8K,0,no,,,
507,ウィロー,カプコン,CAP-WI,1989/7/18,RPG,5900,うぃろー,128K,128K,1,no,,,
508,必殺道場破り,シグマ商事,SEI-1A,1989/7/18,ACT,6500,ひっさつどうじょうやぶり,128K,128K,1,yes,,,
509,ケルナグール,ナムコ,-,1989/7/21,ACT,4900,けるなぐーる,128K,64K,4,no,,,
